x,y,z,f,scl1
0.018035332,-0.14953436,-0.06876827,0.0,0.0
0.11142633,0.32296762,-0.07173895,0.0,0.0
0.025140028,-0.20437205,0.04096878,0.0,0.0
0.5761412,0.08911964,-0.08343219,0.0,0.0
-0.7409003,0.025904862,-0.10655737,0.0,0.0
-0.52674574,-0.1578521,0.069243915,0.0,0.0
0.15960222,-0.17148204,0.115274735,0.0,0.0
0.66485775,-0.029188631,-0.06302269,0.0,0.0
-0.5297002,0.04604192,-0.09461301,0.0,0.0
-0.33400276,-0.08301571,-0.013783857,0.0,0.0
0.4378684,0.06811537,-0.15893042,0.0,0.0
-0.5866493,-0.04810729,0.019030519,0.0,0.0
0.54095453,-0.12075551,0.0022715195,0.0,0.0
0.086209245,0.32028177,-0.020347584,0.0,0.0
0.076387845,0.116828516,0.0065822895,0.0,0.0
-0.7948814,0.04891399,-0.121207505,0.0,0.0
-0.12438913,-0.030853985,-0.0049335556,0.0,0.0
-0.7497599,-0.12594809,0.016562136,0.0,0.0
-0.19348766,0.15551686,-0.07297942,0.0,0.0
-0.14181267,-0.30050305,0.26478195,0.0,0.0
0.9932966,-0.00051718485,-0.04678462,0.0,0.0
-0.22434215,0.005347431,-0.018021004,0.0,0.0
0.33755305,-0.103601955,0.16091666,0.0,0.0
-0.075712055,-0.038618356,-0.005243156,0.0,0.0
0.03128682,-0.16625325,0.072602324,0.0,0.0
-0.084089525,-0.20557947,0.2790093,0.0,0.0
-0.85706824,-0.092327885,0.015089058,0.0,0.0
-0.28139222,-0.19416693,0.05613363,0.0,0.0
-0.36367992,-0.047915023,0.13378713,0.0,0.0
0.073678896,0.15175557,-0.03340502,0.0,0.0
-0.1471692,-0.036666572,-0.02766435,0.0,0.0
0.7922039,-0.14589353,0.07580126,0.0,0.0
0.3170124,-0.11834898,0.034400463,0.0,0.0
0.023410395,-0.13937198,0.044208985,0.0,0.0
-0.10893585,-0.08241862,-0.124434985,0.0,0.0
0.13530764,0.038942646,-0.112328015,0.0,0.0
-0.7400075,0.24171089,-0.11079484,0.0,0.0
-0.07847621,-0.14876384,-0.09168722,0.0,0.0
-0.69793785,-0.034566235,-0.11997748,0.0,0.0
0.27425545,0.08483376,-0.06986413,0.0,0.0
-0.31738484,-0.018738901,0.041261036,0.0,0.0
-0.14004588,-0.13681674,0.13701221,0.0,0.0
-0.40639594,-0.05823267,0.06311203,0.0,0.0
0.6048256,-0.12038084,-0.14449973,0.0,0.0
0.08906751,0.38386294,-0.10137594,0.0,0.0
-0.5437785,-0.17228547,-0.1892384,0.0,0.0
-0.36597455,-0.0818754,-0.13831697,0.0,0.0
0.5409453,-0.04917509,-0.186405,0.0,0.0
0.07106948,0.227948,-0.06990514,0.0,0.0
-0.013553749,0.061839372,0.06051056,0.0,0.0
-0.3219651,0.3406478,-0.051174134,0.0,0.0
-0.27078998,0.1742422,-0.03031635,0.0,0.0
-0.24367726,-0.0046455488,0.008489259,0.0,0.0
-0.42015558,0.09290377,-0.019481735,0.0,0.0
0.74224085,0.54308075,-0.0880719,0.0,0.0
-0.16823278,0.2077916,0.12839954,0.0,0.0
-0.4098905,-0.13193162,0.095376104,0.0,0.0
0.37635037,-0.06755784,0.15725377,0.0,0.0
-0.10702811,-0.18424341,0.17190844,0.0,0.0
0.056013606,0.23109815,-0.12730962,0.0,0.0
-0.36373952,-0.09278342,-0.04009329,0.0,0.0
-0.70251715,-0.23078239,-0.09618206,0.0,0.0
-0.060875557,0.12426947,-0.024953594,0.0,0.0
0.3161596,-0.2667365,-0.02542554,0.0,0.0
0.46156418,-0.24009547,0.012333886,0.0,0.0
0.4973957,-0.15572134,0.1218132,0.0,0.0
0.4770988,-0.03938778,0.12125843,0.0,0.0
-0.6366216,-0.070383355,-0.15946048,0.0,0.0
-0.6883456,-0.05656943,0.00077838305,0.0,0.0
-0.91723365,0.024367653,-0.08155684,0.0,0.0
0.79151565,0.09623275,-0.20044151,0.0,0.0
-0.07466685,-0.08709915,0.02687171,0.0,0.0
0.10535629,0.13133995,-0.036198277,0.0,0.0
0.52700824,0.35613325,0.077936634,0.0,0.0
-0.71486413,0.0024424032,-0.07780303,0.0,0.0
-0.2457521,-0.15854147,0.09534458,0.0,0.0
0.30446026,-0.209654,-0.062804,0.0,0.0
-0.18530723,-0.04819768,0.07996404,0.0,0.0
-0.26989308,-0.16603683,0.06867522,0.0,0.0
0.18372668,-0.14014569,-0.025030645,0.0,0.0
0.6957702,-0.21320838,0.065373085,0.0,0.0
0.10830192,-0.050404202,-0.1770968,0.0,0.0
0.5798562,-0.15566315,0.050670687,0.0,0.0
0.59997267,-0.05005837,-0.14801982,0.0,0.0
-0.34795275,-0.13298859,0.12118693,0.0,0.0
-0.16142717,-0.115038894,-0.077174224,0.0,0.0
-0.0328195,-0.10208324,0.09183288,0.0,0.0
0.3170539,-0.09755653,0.11677761,0.0,0.0
-0.96311504,0.02373805,-0.08480141,0.0,0.0
-0.69835234,0.11526225,-0.165025,0.0,0.0
-0.57278866,-0.073527,0.01733587,0.0,0.0
-0.09317767,0.00029861415,0.08253839,0.0,0.0
-0.6704807,-0.14507549,-0.0007781604,0.0,0.0
-0.033488978,0.026464095,-0.044798054,0.0,0.0
-0.1517114,0.06172249,-0.013227552,0.0,0.0
-0.10450159,-0.16742373,0.087979764,0.0,0.0
0.46566784,0.007806854,-0.11483746,0.0,0.0
0.40540725,-0.18679523,0.18144238,0.0,0.0
0.10285748,0.20146985,-0.09453248,0.0,0.0
0.2265891,0.17978467,-0.049941044,0.0,0.0
-0.27815944,0.047453705,-0.08193241,0.0,0.0
0.19863325,0.07108834,-0.10878591,0.0,0.0
0.10793353,0.228141,-0.07020935,0.0,0.0
0.78931135,-0.036918387,-0.09523525,0.0,0.0
0.27192906,-0.14839396,0.044945884,0.0,0.0
0.5828159,-0.017270392,-0.04272239,0.0,0.0
-0.038266078,0.06002532,-0.10709264,0.0,0.0
0.06879712,-0.16643766,-0.08155608,0.0,0.0
0.8247449,-0.152754,-0.092866376,0.0,0.0
0.60156655,0.021932632,-0.09605541,0.0,0.0
-0.25756449,-0.13244739,0.08185242,0.0,0.0
-0.46488303,-0.011813047,-0.072626404,0.0,0.0
-0.12539709,-0.076817244,-0.14145394,0.0,0.0
-0.22502361,-0.06940357,-0.11072071,0.0,0.0
0.25484806,-0.104457304,0.12186125,0.0,0.0
0.7084782,-0.027748626,-0.043218553,0.0,0.0
0.5876356,-0.20195779,0.09779314,0.0,0.0
-0.57655585,-0.08002755,-0.1323787,0.0,0.0
-0.18300302,-0.13875477,0.17382331,0.0,0.0
-0.17797537,-0.02385072,0.07423682,0.0,0.0
-0.6158903,0.045680176,0.005869095,0.0,0.0
-0.014890763,-0.14770062,0.115521386,0.0,0.0
0.86411214,-0.00241826,-0.07274892,0.0,0.0
0.53407764,0.23665604,-0.078110956,0.0,0.0
-0.14271669,0.17044593,-0.06491716,0.0,0.0
0.2837839,0.12356213,-0.11967868,0.0,0.0
0.23798893,0.07740282,-0.1434655,0.0,0.0
0.34417057,0.37627184,0.058115833,0.0,0.0
-0.60146403,-0.19603121,0.13647656,0.0,0.0
0.050836354,-0.0037844144,0.2363625,0.0,0.0
0.47318324,-0.12960361,0.093528084,0.0,0.0
-0.33284003,-0.1813136,-0.02100091,0.0,0.0
-0.55115795,-0.19629659,0.10422499,0.0,0.0
0.11428979,0.04379948,-0.03569337,0.0,0.0
0.41203633,0.31154636,0.06909164,0.0,0.0
0.393621,0.0041491813,0.022793489,0.0,0.0
-0.5379044,-0.13044494,-0.039350677,0.0,0.0
0.16253892,0.030371528,-0.049143016,0.0,0.0
-0.042977422,-0.2796159,0.028283356,0.0,0.0
-0.6789782,0.11707971,-0.041040957,0.0,0.0
-0.13697699,0.18319114,0.0539094,0.0,0.0
0.58136487,-0.17309473,-0.025351496,0.0,0.0
0.20345204,-0.027229698,-0.104474664,0.0,0.0
-0.16831781,0.10205028,-0.14490716,0.0,0.0
0.53831214,0.105672725,0.029614065,0.0,0.0
-0.61168957,-0.20498283,0.17344409,0.0,0.0
-0.21732716,-0.100618765,-0.16112503,0.0,0.0
0.13913082,-0.16659369,0.02337834,0.0,0.0
-0.37772343,0.047023226,-0.007069257,0.0,0.0
-0.09335093,0.0059308666,-0.005712133,0.0,0.0
-0.3879068,-0.07016057,0.17917559,0.0,0.0
0.26546112,0.22540164,-0.1359231,0.0,0.0
-0.11193589,0.29972383,0.028119879,0.0,0.0
-0.09411259,0.021365702,-0.077771164,0.0,0.0
0.029346222,-0.06713151,-0.09688329,0.0,0.0
0.10845498,0.19242291,-0.18144175,0.0,0.0
-0.31428313,-0.12221165,-0.11923066,0.0,0.0
0.70206684,0.4351074,-0.07499459,0.0,0.0
-0.4534055,-0.09462527,0.014899152,0.0,0.0
-0.014288152,-0.006847395,-0.13367678,0.0,0.0
-0.07372096,-0.059071835,0.15214555,0.0,0.0
-0.28671566,-0.098993436,-0.018052805,0.0,0.0
0.5111389,0.18325903,-0.18450373,0.0,0.0
-0.13413674,-0.010732739,-0.030828306,0.0,0.0
0.24165122,-0.15701413,0.08807765,0.0,0.0
0.011975892,-0.0733465,0.1191375,0.0,0.0
0.11042344,0.023578256,-0.15340725,0.0,0.0
-0.5884077,-0.17252448,0.03994612,0.0,0.0
0.21003489,0.04851758,-0.1804242,0.0,0.0
0.45757633,-0.072544456,0.013878158,0.0,0.0
-0.034534365,0.02575435,-0.08146381,0.0,0.0
0.33105993,0.024286488,0.046242103,0.0,0.0
-0.7636075,0.03747442,-0.121920586,0.0,0.0
-0.5544574,-0.1175477,0.11308029,0.0,0.0
-0.12248973,0.23658217,-0.065181114,0.0,0.0
-0.38878602,-0.17380883,0.09661699,0.0,0.0
0.057960536,0.04996332,-0.11863319,0.0,0.0
0.5272501,0.06869555,-0.08128734,0.0,0.0
0.6640768,0.097267166,-0.0964916,0.0,0.0
-0.45311183,-0.20353274,0.119956754,0.0,0.0
0.36710387,-0.14421485,-0.058345873,0.0,0.0
0.5338922,0.020976447,0.0008015117,0.0,0.0
0.02492708,-0.21118128,0.086716026,0.0,0.0
-0.121746086,0.059354722,-0.020647693,0.0,0.0
-0.69862825,-0.06890708,-0.0149965715,0.0,0.0
0.24393778,0.08855567,0.16226897,0.0,0.0
0.17443767,-0.25152427,-0.017944293,0.0,0.0
-0.7631672,-0.1499385,-0.04751459,0.0,0.0
0.42142782,-0.1443786,0.19751585,0.0,0.0
0.61998785,0.0023199245,-0.028846689,0.0,0.0
0.1330952,0.085770614,-0.089647226,0.0,0.0
-0.62516284,-0.14895333,0.07973244,0.0,0.0
0.15659317,0.02168422,-0.043990288,0.0,0.0
0.36220473,-0.019510048,0.10144501,0.0,0.0
-0.9885076,0.08811716,-0.2574848,0.0,0.0
-0.07149494,-0.15669797,0.13029326,0.0,0.0
0.7674091,-0.1952625,-0.10619341,0.0,0.0
0.5389636,0.00076052337,0.0009646132,0.0,0.0
0.6568814,0.18239744,-0.13756554,0.0,0.0
-0.4711366,0.21864688,-0.1652434,0.0,0.0
-0.6273843,-0.10140327,0.022879396,0.0,0.0
0.20815164,-0.1477297,-0.101939656,0.0,0.0
0.33454627,-0.17671253,0.067971624,0.0,0.0
0.72937864,-0.04949239,-0.09181609,0.0,0.0
0.26275647,0.28546113,-0.022203824,0.0,0.0
0.19010918,-0.20261413,0.2064919,0.0,0.0
0.51046777,-0.20554335,0.06362959,0.0,0.0
-0.75269246,-0.13006303,-0.12089354,0.0,0.0
-0.4542903,-0.13393527,-0.12530832,0.0,0.0
-0.5074705,-0.0963674,0.07405764,0.0,0.0
0.092182554,0.088678144,-0.15687919,0.0,0.0
0.091336004,-0.1415191,-0.20270969,0.0,0.0
-0.47171342,0.42093796,-0.042398483,0.0,0.0
-0.7097158,-0.041810084,-0.0089738155,0.0,0.0
-0.7583673,-0.0067881476,-0.15202995,0.0,0.0
-0.5413844,0.16637397,-0.09646914,0.0,0.0
-0.80180776,0.0068547036,-0.05658743,0.0,0.0
-0.46912593,-0.08228866,-0.037160255,0.0,0.0
0.42149243,-0.21941856,0.08538656,0.0,0.0
-0.07077025,-0.24496262,-0.04557103,0.0,0.0
0.28073972,0.009517828,-0.086499214,0.0,0.0
-0.34929007,0.03776369,0.0068513234,0.0,0.0
0.3667205,0.065731324,-0.11755295,0.0,0.0
-0.15288967,0.116053104,-0.09725268,0.0,0.0
-0.13541251,-0.062057164,0.036275834,0.0,0.0
0.576065,0.108592816,-0.014201421,0.0,0.0
0.59907264,0.042542577,-0.04176533,0.0,0.0
0.5785628,-0.035927646,-0.17451501,0.0,0.0
-0.7645957,-0.013030117,-0.046144262,0.0,0.0
-0.6202837,-0.20582281,-0.08699329,0.0,0.0
-0.65855,-0.16901353,0.018162662,0.0,0.0
0.018457912,0.02301418,-0.12797852,0.0,0.0
-0.059288073,-0.049737096,-0.12735763,0.0,0.0
-0.49815756,0.07802255,-0.06761281,0.0,0.0
-0.29335907,0.115844876,-0.016278032,0.0,0.0
-0.71810687,-0.17704326,-0.07246304,0.0,0.0
-0.0220024,0.23244862,-0.14158238,0.0,0.0
-0.47264642,0.039755046,-0.07538386,0.0,0.0
-0.2553154,-0.13384604,0.12351603,0.0,0.0
0.38102356,-0.15387295,-0.06479099,0.0,0.0
-0.7644589,-0.11909545,0.014742937,0.0,0.0
-0.5683114,-0.056198873,-0.13420965,0.0,0.0
0.23851447,-0.18505365,0.041013047,0.0,0.0
-0.7703064,-0.22050084,0.12617478,0.0,0.0
-0.14123866,-0.17458177,-0.041318573,0.0,0.0
0.5518727,-0.058694042,0.09715926,0.0,0.0
0.12480559,-0.14985082,0.012601921,0.0,0.0
-0.0011023743,-0.0050411467,0.011435166,0.0,0.0
-0.06830804,0.17319834,-0.08567558,0.0,0.0
-0.4710536,-0.035380565,0.08755271,0.0,0.0
-0.19369033,0.015148391,-0.14597164,0.0,0.0
-0.43892038,-0.121849194,0.02389353,0.0,0.0
0.2331016,0.042232953,-0.119759284,0.0,0.0
0.3765498,-0.4982724,-0.090014994,0.0,0.0
-0.15941046,0.16498198,-0.09268042,0.0,0.0
0.44363832,-0.237018,0.09113372,0.0,0.0
0.41757965,-0.11796817,0.18160355,0.0,0.0
-0.1540623,-0.03789782,0.0320312,0.0,0.0
-0.20552512,0.056638964,-0.00083933084,0.0,0.0
0.7607129,-0.17691162,0.10687116,0.0,0.0
0.26460624,0.47071925,-0.13976112,0.0,0.0
-0.44656935,0.011692727,-0.038355436,0.0,0.0
-0.6797901,0.2247631,-0.011713164,0.0,0.0
0.5376162,-0.03855881,-0.17345648,0.0,0.0
-0.86748314,0.0504755,-0.08826979,0.0,0.0
0.16829069,-0.065730736,-0.16811785,0.0,0.0
-0.8228874,0.06807514,-0.09650855,0.0,0.0
-0.46766055,-0.21355668,-0.050608985,0.0,0.0
-0.5655872,0.10265633,-0.06773417,0.0,0.0
0.39265364,0.26577082,-0.10471255,0.0,0.0
-0.16477141,0.076923415,-0.033052564,0.0,0.0
0.49567413,0.005999393,-0.10144573,0.0,0.0
0.6004477,-0.18079074,0.10606453,0.0,0.0
0.5845117,-0.0038096504,-0.05315048,0.0,0.0
0.49037522,0.29578766,-0.028942205,0.0,0.0
-0.30420902,0.0081812,-0.009673133,0.0,0.0
0.13798921,0.10137245,-0.110641174,0.0,0.0
0.2675513,-0.15907337,-0.040895455,0.0,0.0
-0.7072394,0.23326875,-0.11286472,0.0,0.0
0.53736824,-0.033910953,-0.08976355,0.0,0.0
1.0478045,0.17643254,-0.026037019,0.0,0.0
-0.72375673,-0.032089215,-0.004618055,0.0,0.0
-0.047590062,-0.008171853,-0.09672267,0.0,0.0
0.41779107,-0.056161884,0.052344855,0.0,0.0
0.00981539,-0.02590575,-0.0043266914,0.0,0.0
-0.3928007,-0.100252956,0.12007009,0.0,0.0
-0.20572464,0.0081536565,-0.2599675,0.0,0.0
-0.4499293,-0.05368755,-0.09833734,0.0,0.0
0.5031385,0.080116026,0.0051529203,0.0,0.0
0.3913557,0.06090369,-0.16924089,0.0,0.0
0.79819256,-0.06519956,-0.14242709,0.0,0.0
-0.75582737,-0.15544628,-0.14258428,0.0,0.0
0.4212775,-0.016406985,-0.0175085,0.0,0.0
0.25457773,-0.21369013,0.10291989,0.0,0.0
-0.62452465,0.0013416922,0.06297505,0.0,0.0
0.018737944,-0.1393173,-0.15570936,0.0,0.0
0.5169531,0.074010365,-0.11016045,0.0,0.0
0.5626107,-0.029775554,-0.085166045,0.0,0.0
